event_id,event_name,event_date,event_location,person,description,event_type,url
event_001,Chùa Thiên Mụ,1601,"Việt Nam, Phường Hương Long , quận Phú Xuân , thành phố Huế",Nguyễn Hoàng,"Chùa Thiên Mụ hay còn gọi là chùa Linh Mụ là một ngôi chùa cổ nằm trên đồi Hà Khê, tả ngạn sông Hương, cách trung tâm thành phố Huế ( Việt Nam ) khoảng 5 km về phía tây. Chùa Thiên Mụ chính thức khởi lập năm Tân Sửu ( 1601 ), đời chúa Tiên Nguyễn Hoàng - vị chúa Nguyễn đầu tiên ở Đàng Trong.",Lịch sử,
event_002,Cầu Trường Tiền,1899,"Việt Nam, Huế, Sông Hương, 16°28′08″B 107°35′19″Đ ﻿ / ﻿ 16,468889°B 107,588611°Đ ﻿ / 16.468889; 107.588611",Hãng Eiffel,"Khổ cầu 6 m [ 2 ], được thiết kế theo kiến trúc Gothic, bắc qua sông Hương, thuộc đoạn Quốc lộ 1 cũ cho đến khi cầu Phú Xuân thay thế vai trò.",Du lịch,
event_003,Cố đô Huế,1802,Phú Xuân,Gia Long,"Cố đô Huế, còn gọi là Phú Xuân, là thủ phủ Đàng Trong dưới thời các chúa Nguyễn từ năm 1687 đến 1774, sau đó là thủ đô của triều đại Tây Sơn từ năm 1788 khi Hoàng đế Quang Trung tức Nguyễn Huệ lên ngôi. Khi Nguyễn Ánh lên ngôi vào năm 1802 lấy niên hiệu là Gia Long, ông cũng chọn thành Phú Xuân làm kinh đô cho nhà Nguyễn – triều đại phong kiến cuối cùng trong lịch sử Việt Nam.",Lịch sử,
event_004,Festival Huế,2 năm 1 lần,,,"Festival Huế được tổ chức 2 năm một lần, là một sự kiện văn hóa lớn được tổ chức tại Huế vào các năm chẵn nhằm mục đích tưởng nhớ về những giá trị truyền thống tại cố đô Huế. Tham gia lễ hội này, du khách sẽ được thưởng thức những màn biểu diễn nghệ thuật đường phố, ngâm thơ, các buổi trưng bày đầy màu sắc, hòa nhạc, chơi trống và xem các bộ phim lịch sử.",Du lịch,
event_005,Lăng Gia Long,1814-1820,"Việt Nam, phường Long Hồ, quận Phú Xuân, Huế .",Gia Long,"Lăng Gia Long hay Thiên Thọ Lăng (天授陵), là lăng tẩm của hoàng đế Gia Long (1762–1820), vị vua sáng lập triều Nguyễn. Lăng Gia Long thực ra là một quần thể nhiều lăng tẩm trong hoàng quyến, nay thuộc địa phận phường Long Hồ, quận Phú Xuân, thành phố Huế.",Lịch sử,
event_006,Lăng Minh Mạng,1840-1841,"Việt Nam, Quần thể di tích cố đô Huế","Minh Mạng , Thiệu Trị","Lăng Minh Mạng (hay còn gọi là Minh Mệnh ) có tên chữ là Hiếu lăng (孝陵), do hoàng đế Thiệu Trị thời nhà Nguyễn cho xây dựng, nằm trên núi Cẩm Kê, ấp An Bằng, phường Long Hồ, quận Phú Xuân, thành phố Huế, gần ngã ba Bằng Lãng là nơi hội lưu của hai dòng Hữu Trạch và Tả Trạch hợp thành sông Hương, cách trung tâm thành phố Huế 12 km. Lăng Minh Mạng được xây dựng từ năm 1840 đến năm 1843 thì hoàn thành, huy động tới mười nghìn thợ và lính.",Lịch sử,
event_007,Lăng Tự Đức,1866,"Việt Nam, Quần thể di tích cố đô Huế",Tự Đức,"Lúc mới xây dựng, Tự Đức đặt tên là Khiêm Cung (謙宮). Sau khi Tự Đức băng hà, lăng được đổi tên thành Khiêm Lăng (謙陵).",Lịch sử,
event_008,Phong trào Cần Vương,1885,"– 1896, Bắc Kỳ , Trung Kỳ , Nam Kỳ",,Phong trào thất bại. Phong trào Cần Vương ( chữ Nôm : 風潮勤王) nổ ra vào cuối thế kỷ 19 do đại thần nhà Nguyễn là Tôn Thất Thuyết nhân danh vua Hàm Nghi đề xướng trước cuộc xâm lược của thực dân Pháp.,Lịch sử,
event_009,Sự kiện Tết Mậu Thân,"Đợt 1: 30-1 đến 28-3, Đợt 2: 5-5 đến 15-6, Đợt 3: 17-8 đến 30-9 năm 1968",miền Nam Việt Nam,,"Cả 2 bên đều bị thiệt hại nặng Hoa Kỳ và Việt Nam Cộng hòa giành chiến thắng về chiến thuật Việt Nam Dân chủ Cộng hòa và Mặt trận Dân tộc Giải phóng miền Nam Việt Nam giành chiến thắng về chiến lược, tuyên truyền và ngoại giao. Chiến dịch diễn ra trên hầu hết các đô thị tại miền Nam, đánh vào những khu vực trọng yếu của quân đội Mỹ và chế độ Việt Nam Cộng hòa.",Lịch sử,
event_010,Trận Cửa Thuận An,Tháng 8 năm 1883,"gần Huế, miền trung Việt Nam",,Pháp chiến thắng. Trận Cửa Thuận An (20 tháng 8 năm 1883) là trận giao tranh giữa quân Pháp và nước Đại Nam một năm trước khi Chiến tranh Pháp-Thanh ( tháng 8 năm 1884 tới tháng 4 năm 1885 ) bùng nổ.,Lịch sử,
event_011,Vụ mưu khởi nghĩa ở Huế (1916),1916,Kinh thành Huế và các tỉnh lân cận,,"Cuộc nổi dậy bị dập tắt. Vụ mưu khởi nghĩa ở Huế là một cuộc khởi nghĩa chống lại Pháp do Trần Cao Vân, Thái Phiên và vua Duy Tân lãnh đạo.",Lịch sử,
event_012,Lễ hội Đu Tiên,Mùng 4 Tết Âm lịch,"Đình làng Gia Viên, xã Phong Hiền, huyện Phong Điền, tỉnh Thừa Thiên Huế",,"Lễ hội Đu Tiên thôn Gia Viên, xã Phong Hiền, huyện Phong Điền diễn ra vào mồng 4 Tết hằng năm là một hoạt động lễ hội văn hoá truyền thống nổi bật ở Huế. Lễ hội Đu Tiên trở thành lễ hội truyền thống trong dịp Tết Nguyên đán, là cơ hội để dân làng quây quần cùng nhau đón năm mới, tham gia trò chơi rèn luyện sức khỏe, cầu cho mưa thuận gió hòa, làm ăn thuận lợi, mùa màng bội thu. Ngoài làng Gia Viên, lễ hội đu tiên vẫn được lưu giữ và tái hiện nhiều ở làng khác ở Thừa Thiên Huế như Quảng Thọ (huyện Quảng Điền), Điền Hòa (huyện Phong Điền)… trong những ngày Tết cổ truyền; với rất nhiều loại cây đu và lối chơi đu khác nhau.",Du lịch,https://khamphahue.com.vn/Van-hoa/Chi-tiet/tid/Le-hoi-Du-Tien.html/pid/14959/cid/198
