media_id,event_name,media,media_type
media_002,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_0.jpg,image
media_003,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_1.jpg,image
media_004,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_2.jpg,image
media_005,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_3.jpg,image
media_006,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_4.jpg,image
media_007,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_5.jpg,image
media_008,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_6.jpg,image
media_009,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_7.jpg,image
media_010,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_8.jpg,image
media_011,Cầu Rồng ,images/Cầu_Rồng_phun_lửa_và_nước/Cầu_Rồng_phun_lửa_và_nước_9.jpg,image
media_012,Festival Huế,images/Festival_Huế/Festival_Huế_0.jpg,image
media_013,Festival Huế,images/Festival_Huế/Festival_Huế_1.jpg,image
media_014,Festival Huế,images/Festival_Huế/Festival_Huế_2.jpg,image
media_015,Festival Huế,images/Festival_Huế/Festival_Huế_3.jpg,image
media_016,Festival Huế,images/Festival_Huế/Festival_Huế_4.jpg,image
media_017,Festival Huế,images/Festival_Huế/Festival_Huế_5.jpg,image
media_018,Festival Huế,images/Festival_Huế/Festival_Huế_6.jpg,image
media_019,Festival Huế,images/Festival_Huế/Festival_Huế_7.jpg,image
media_020,Festival Huế,images/Festival_Huế/Festival_Huế_8.jpg,image
media_021,Festival Huế,images/Festival_Huế/Festival_Huế_9.jpg,image
media_022,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_0.jpg,image
media_023,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_1.jpg,image
media_024,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_2.jpg,image
media_025,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_3.jpg,image
media_026,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_4.jpg,image
media_027,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_5.jpg,image
media_028,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_6.jpg,image
media_029,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_7.jpg,image
media_030,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_8.jpg,image
media_031,Kinh đô Huế,images/Kinh_đô_Huế/Kinh_đô_Huế_9.jpg,image
media_032,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_0.jpg,image
media_033,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_1.jpg,image
media_034,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_2.jpg,image
media_035,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_3.jpg,image
media_036,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_4.jpg,image
media_037,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_5.jpg,image
media_038,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_6.jpg,image
media_039,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_7.jpg,image
media_040,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_8.jpg,image
media_041,Lăng Gia Long,images/Lăng_Gia_Long/Lăng_Gia_Long_9.jpg,image
media_042,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_0.jpg,image
media_043,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_1.jpg,image
media_044,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_2.jpg,image
media_045,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_3.jpg,image
media_046,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_4.jpg,image
media_047,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_5.jpg,image
media_048,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_6.jpg,image
media_049,Lăng Minh Mạng,images/Lăng_Minh_Mạng/Lăng_Minh_Mạng_7.jpg,image
