person_id,person_name,birth_year,death_year,birthplace,biography
PS_01,Nguyễn Hoàng,1525,1613," ở làng Gia Miêu Ngoại trang, huyện Tống Sơn, phủ Hà Trung, xứ Thanh Hoa","Nguyễn Hoàng sinh 28 tháng 8 năm 1525 năm Ất Dậu, là người ở làng Gia Miêu Ngoại trang, huyện Tống Sơn, phủ Hà Trung, xứ Thanh Hoa[1], con trai thứ của Nguyễn Kim và bà chính thất Nguyễn Thị Mai, con gái của Đặc tiến quốc thượng tướng quân thự vệ sự triều Lê Nguyễn Minh Biện (quê ở làng Phạm Xá, xã Ngọc Sơn, thành phố Hải Dương). Tiên tổ Nguyễn Hoàng là Nguyễn Công Duẩn, theo vua Lê Thái Tổ, làm quan đến Phụng thần vệ tướng quân Gia đình Hầu, Hoành quốc công. Nguyễn Công Duẩn sinh Nguyễn Đức Trung, đời vua Lê Nhân Tông làm Điện tiền chỉ huy sứ, đã cùng Nguyễn Xí mưu lập vua Lê Thánh Tông, làm đến Đô đốc Trịnh quốc công. Nguyễn Đức Trung là anh của Nguyễn Văn Lỗ, Nguyễn Văn Lỗ sinh ra Nguyễn Văn Lãng (hay Lang), Nguyễn Văn Lang làm tướng triều đình thời Lê Uy Mục. Khi vua Uy Mục mất lòng dân, Nguyễn Văn Lang cùng con là Nguyễn Hoằng Dụ họp quân ba phủ xứ Thanh tôn con Kiến vương Lê Tân là Lê Oanh lên làm vua. Lê Oanh đánh đổ Lê Uy Mục, trở thành vua Lê Tương Dực, đã phong Nguyễn Văn Lang tước Nghĩa quốc công, Nguyễn Hoằng Dụ làm Thái phó Trừng quốc công.

Cha của Nguyễn Hoàng là Nguyễn Kim, con trưởng của Nguyễn Văn Lưu, làm quan cuối triều Lê sơ, giữ chức Hữu vệ điện tiền tướng quân, tước An hòa hầu. Năm 1527, Mạc Đăng Dung cướp ngôi nhà Lê, Nguyễn Kim có chí muốn khôi phục, ông dẫn con em sang Ai Lao thu nạp hào kiệt, tìm con cháu nhà Lê phò lập."
PS_02,Gia Long,1762,1820,Huế,"Gia Long[3] (chữ Hán: 嘉隆; 8 tháng 2 năm 1762 – 3 tháng 2 năm 1820), tên húy là Nguyễn Phúc Ánh (阮福暎), thường được gọi là Nguyễn Ánh (阮暎), là một nhà chính trị, nhà quân sự người Việt Nam, vị vua sáng lập nhà Nguyễn, triều đại quân chủ cuối cùng trong lịch sử Việt Nam. Ông trị vì từ năm 1802 đến khi qua đời năm 1820, được truy tôn miếu hiệu là Nguyễn Thế Tổ (阮世祖). Trong suốt thời gian trị vì ông chỉ sử dụng một niên hiệu là Gia Long (嘉隆), nên thường được gọi là Gia Long Đế.

Nguyễn Ánh là cháu nội của chúa Nguyễn Phúc Khoát, vị chúa Nguyễn áp chót ở Đàng Trong. Sau khi gia tộc chúa Nguyễn bị quân Tây Sơn lật đổ vào năm 1777, ông trốn chạy và bắt đầu cuộc chiến 25 năm với Tây Sơn để khôi phục ngôi vị. Ban đầu Nguyễn Ánh chịu nhiều thất bại lớn, có lúc phải chạy sang Xiêm La và sống lưu vong ở đây trong ba năm. Để chống Tây Sơn, ông nhiều lần cầu viện nước ngoài, bao gồm việc mời quân Xiêm đánh vào Nam bộ[4], hứa cắt đất và cống nạp để mời quân Pháp[5], và chở 50 vạn cân gạo để giúp quân Thanh đang chiếm đóng Bắc bộ[6]

Năm 1787, ông đã trở lại và giữ vững được Nam Bộ. Về sau, lúc Tây Sơn suy yếu sau cái chết đột ngột của vua Quang Trung vào năm 1792, Nguyễn Ánh bắt đầu tiến đánh nhà Tây Sơn và đến năm 1802 thì đánh bại Tây Sơn, lên ngôi hoàng đế, lập ra nhà Nguyễn, thống nhất đất nước và kết thúc nhiều thế kỷ nội chiến ở Việt Nam. Triều đại của Gia Long đã chính thức sử dụng quốc hiệu Việt Nam. Ông cũng quyết định đóng kinh đô tại thủ phủ cũ của các Chúa Nguyễn là Phú Xuân (Huế).[7] Lãnh thổ nước Việt thời Gia Long về cơ bản được định hình giống như ngày nay, kéo dài từ biên giới với Trung Quốc tới vịnh Thái Lan, bao gồm cả quần đảo Hoàng Sa và Trường Sa, tuy nhiên ông đã công nhận vùng đất Trấn Ninh - vốn được nhà Hậu Lê tuyên bố chủ quyền trong hơn 300 năm, thuộc về vương quốc Vạn Tượng để đền đáp sự ủng hộ của họ trong cuộc chiến với nhà Tây Sơn.[8]

Về đối ngoại, ông là người mở đường cho sự can thiệp của người Pháp ở Việt Nam qua việc mời người Pháp giúp xây dựng các thành trì lớn, huấn luyện quân đội và khoan thứ cho việc truyền đạo Công giáo tại Việt Nam. Về mặt đối nội, nước Việt thời Gia Long không được ổn định, do Gia Long tăng thuế khóa và lao dịch quá nặng nên bị người dân bất bình,[9] chỉ trong 18 năm đã có khoảng 90 cuộc khởi nghĩa nổ ra trên cả nước.[10] Gia Long cũng xóa bỏ các cải cách tiến bộ của triều Tây Sơn để thay bằng việc áp dụng các chính sách cai trị phong kiến khá bảo thủ, tiêu biểu là việc cấm thương nhân người Việt buôn bán với ngoại quốc,[11] soạn Hoàng triều luật lệ hay còn gọi là ""luật Gia Long"", gần như chép nguyên mẫu từ luật của nhà Thanh (Trung Quốc) nên khá khắc nghiệt và không được tiến bộ như bộ luật Hồng Đức của nhà Hậu Lê.[12] Các chính sách bảo thủ là nguyên nhân khiến nước Việt thời nhà Nguyễn dần trở nên trì trệ, lạc hậu, không thích ứng kịp với thời đại mới và bị đế quốc Pháp xâm chiếm vào nửa thế kỷ sau.[13]"
PS_03,Minh Mạng,1791,1841,Huế,"Minh Mạng hay Minh Mệnh (chữ Hán: 明命, 25 tháng 5 năm 1791 – 20 tháng 1 năm 1841) là vị hoàng đế thứ hai của triều Nguyễn trị vì từ năm 1820 đến khi qua đời, được truy tôn miếu hiệu là Nguyễn Thánh Tổ. Ông là vị vua có nhiều thành tích nhất của nhà Nguyễn, nhưng đến cuối thời ông thì nhà Nguyễn dần suy yếu cả về kinh tế và quân sự.

Trong 21 năm trị vì (1820-1841), Minh Mạng ban bố hàng loạt cải cách về hành chính. Ông đổi tên nước Việt Nam thành Đại Nam, lập thêm Nội các và Cơ mật viện, bãi bỏ chức Tổng trấn Bắc thành và Gia Định thành, đổi trấn thành tỉnh, củng cố chế độ lưu quan ở miền núi. Quân đội cũng được chú trọng xây dựng (do liên tục diễn ra nội loạn và chiến tranh giành lãnh thổ với lân bang). Minh Mạng còn cử quan đôn đốc khai hoang ở ven biển Bắc kỳ và Nam kỳ. Ngoài ra, ông rất quan tâm đến khoa cử Nho giáo, năm 1822 ông mở lại các kì thi Hội, thi Đình ở kinh đô để tuyển chọn nhân tài. Ông nghiêm cấm truyền bá đạo Cơ Đốc vì cho rằng đó là thứ tà đạo làm băng hoại truyền thống dân tộc.

Tuy nhiên, Minh Mạng không đưa ra cải cách nào về kinh tế, tiếp tục thi hành chính sách ""trọng nông ức thương"" của vua cha Gia Long. Đời sống nhân dân khó khăn, trong khi triều đình chi tiêu quá nhiều cho chiến tranh với các nước láng giềng, dẫn tới liên tục xảy ra nội loạn. Liên tiếp xảy ra các cuộc nổi dậy của nông dân chống lại triều đình (Phan Bá Vành, Lê Duy Lương, Nông Văn Vân,... ở miền Bắc và Lê Văn Khôi ở miền Nam). Trong 20 năm cai trị, đã có tới 234 cuộc nổi dậy chống triều đình trên cả nước, nhà vua phải sai nhiều tướng đánh dẹp.

Về ngoại giao, Minh Mạng không đưa ra cải cách nào, ông tiếp tục duy trì chính sách của Gia Long: Bế quan toả cảng, từ chối mọi giao lưu với phương Tây, cấm người dân buôn bán với ngoại quốc, khiến Đại Nam dần tụt hậu do không tiếp thu được các thành tựu mới về khoa học kỹ thuật.

Đối với các nước láng giềng, Minh Mạng sử dụng vũ lực nhiều lần: giành lại Trấn Ninh (từng bị vua cha là Gia Long cắt cho Ai Lao), lập các phủ Lạc Biên, Trấn Định, Trấn Man nhằm khống chế Ai Lao; đánh bại Xiêm La để giành quyền khống chế Chân Lạp, chiếm vùng Nam Vang (Phnôm Pênh ngày nay) và đổi tên thành Trấn Tây Thành; kết quả là Việt Nam thời cuối Minh Mạng có lãnh thổ rộng hơn cả hiện nay. Tuy nhiên, các cuộc chiến tranh tốn kém đó đã làm cạn kiệt quốc khố, nên nhà Nguyễn đã không thể giữ được các lãnh thổ mới đánh chiếm. Ngay sau khi Minh Mạng mất, con ông là Thiệu Trị đã phải rút quân khỏi Trấn Tây Thành, chỉ 7 năm sau khi chiếm được vùng này. Do quốc khố suy kiệt nên quân đội nhà Nguyễn sau thời Minh Mạng cũng ngày càng yếu đi. Nhiều lãnh thổ khác cũng bị Xiêm La đánh chiếm mà nhà Nguyễn không còn khả năng để giành lại (nay thuộc về nước Lào) nên lãnh thổ nhà Nguyễn sau thời Minh Mạng lại bị co hẹp lại, nhỏ hơn so với Việt Nam hiện nay."
PS_04,Tự Đức,1829,1883,Huế,"Tự Đức (chữ Hán: 嗣德, 22 tháng 9 năm 1829 – 19 tháng 7 năm 1883) tên thật là Nguyễn Phúc Hồng Nhậm (阮福洪任), khi lên ngôi đổi thành Nguyễn Phúc Thì (阮福時), là vị hoàng đế thứ tư của triều Nguyễn. Ông là vị vua có thời gian trị vì lâu dài nhất của nhà Nguyễn, trị vì từ năm 1847 đến 1883, ông được truy tôn miếu hiệu là Nguyễn Dực Tông (阮翼宗), thụy hiệu là Thể Thiên Anh Hoàng Đế. Trong suốt thời gian trị vì của mình ông chỉ sử dụng duy nhất một niên hiệu là Tự Đức (嗣德) nên thường được gọi với tên này.

Triều đại của ông đánh dấu sự suy yếu của nhà Nguyễn và nhiều sự kiện xấu với vận mệnh Đại Nam. Quân đội nhà Nguyễn ngày càng suy yếu, kinh tế trì trệ, trong khi nhiều cuộc nội loạn diễn ra trong cả nước. Năm 1858, liên quân Pháp-Tây Ban Nha nổ súng tấn công Đà Nẵng. Trước tình hình người Pháp xâm lấn trong triều đình đặt ra vấn đề cải cách, liên tiếp các năm từ 1864 đến 1881, các quan là Phan Thanh Giản, Phạm Phú Thứ, Nguyễn Trường Tộ, Đinh Văn Điền, Nguyễn Hiệp, Lê Định liên tiếp dâng sớ xin nhà vua cho cải cách toàn diện đất nước nhưng các đình thần lại không thống nhất, nhà vua cũng không đưa ra được quyết sách dứt khoát. Mãi đến năm 1878, triều đình mới bắt đầu cử người thực hiện các bước đầu tiên trong quá trình cải cách là cho học tiếng nước ngoài, nhưng đình thần vẫn bất đồng và nảy sinh hai phe chủ trương cải cách và bảo thủ, rồi đến khi nước Đại Nam dần rơi vào tay quân Pháp cũng nảy sinh hai phe chủ chiến và chủ hòa. Chính vua Tự Đức cũng phải tự phê về triều đại mình như sau: ""Thanh dung thịnh nhi võ bị suy, nghị luận đa nhi thành công thiểu"" (聲容盛而武備衰, 議論多而成功少; nghĩa là: Bề ngoài hào nhoáng nhưng quân sự suy yếu, bàn luận nhiều mà thành công ít)

Triều đình nhà Nguyễn ngày càng bất lực trước sự tấn công của Pháp, chỉ mong cắt đất cầu hòa. Cuối cùng, tới năm 1883, Tự Đức qua đời, ngay sau đó Pháp tấn công vào kinh đô và ép buộc nhà Nguyễn phải công nhận sự ""bảo hộ"" của Pháp trên toàn Đại Nam. Nhà Nguyễn sau thời Tự Đức chỉ còn là danh nghĩa, vua Nguyễn chỉ còn là bù nhìn, thực tế thì đã mất nước vào tay Pháp.
"
PS_05,Hàm Nghi,1871,1944,Huế,"Hàm Nghi ( chữ Hán : 咸宜 3 tháng 8 năm 1871 – 14 tháng 1 năm 1944 ), tên thật Nguyễn Phúc Ưng Lịch (阮福膺𧰡), là vị hoàng đế thứ tám của nhà Nguyễn , triều đại phong kiến cuối cùng trong lịch sử Việt Nam . Là em trai của vua Kiến Phúc , năm 1884 Hàm Nghi được các phụ chính đại thần Nguyễn Văn Tường và Tôn Thất Thuyết đưa lên ngôi ở tuổi 13. Sau khi cuộc phản công tại kinh thành Huế thất bại năm 1885 , Tôn Thất Thuyết đưa ông ra ngoài và phát chiếu Cần Vương chống thực dân Pháp . Nhân danh ông, Tôn Thất Thuyết đã phát động phong trào Cần Vương , kêu gọi văn thân, nghĩa sĩ giúp vua, giúp nước. Phong trào này kéo dài đến năm 1888 thì Hàm Nghi bị bắt. Sau đó, ông bị đem an trí ở Alger ( thủ đô xứ Algérie ) và qua đời tại đây năm 1944 vì bệnh ung thư dạ dày . Do áp lực của Pháp nên nhà Nguyễn không lập miếu hiệu cho ông. Ngày nay, lịch sử Việt Nam xem ông cùng với các vua chống Pháp gồm Thành Thái , Duy Tân là ba vị vua yêu nước trong thời kỳ Pháp thuộc . [ 1 ] Hàm Nghi húy là Nguyễn Phúc Ưng Lịch , khi lên ngôi đổi thành Nguyễn Phúc Minh . Ông là con thứ năm của Kiên Thái vương Nguyễn Phúc Hồng Cai và bà Phan Thị Nhàn, sinh ngày 17 tháng 6 năm Tân Mùi , tức 3 tháng 8 năm 1871 (có tài liệu ghi ông sinh ngày 22 tháng 7 năm 1872 ) tại Huế . Ông là em ruột của vua Kiến Phúc (Ưng Đăng) và vua Đồng Khánh (Chánh Mông hay Ưng Kỷ). Sau khi vua Tự Đức qua đời vào tháng 7 năm 1883 , mặc dù các Phụ chính đại thần Nguyễn Văn Tường và Tôn Thất Thuyết nắm trọn quyền hành trong việc phế bỏ vua này truất ngôi vua khác nhưng lại rất bị động trong việc tìm người trong Hoàng gia có cùng chí hướng để đưa lên ngôi. Trước thời Hàm Nghi, cả ba vua Dục Đức , Hiệp Hòa và Kiến Phúc đều lần lượt đi ngược lại đường lối của phái chủ chiến hoặc bị mất sớm, trở thành những phần tử không thể không bị loại bỏ khỏi triều chính đang rối ren. [ 2 ] Vua Kiến Phúc đột ngột qua đời trong lúc tình hình đang có lợi cho phái chủ chiến trong triều đình Huế. [ 3 ] Sau khi nhà vua mất, đáng lẽ con nuôi thứ hai của vua Tự Đức là Nguyễn Phúc Ưng Kỷ lên ngôi, nhưng Nguyễn Văn Tường và Tôn Thất Thuyết sợ lập một vị vua lớn tuổi sẽ mất quyền hành và hai ông chủ trương dứt khoát lựa chọn bằng được một vị vua ủng hộ lập trường chống Pháp nên đã chọn Ưng Lịch. Đây là một người có đủ tư cách về dòng dõi, nhưng chưa bị cuộc sống giàu sang của kinh thành làm vẩn đục tinh thần tự tôn dân tộc và quan trọng hơn hết là hai ông có thể định hướng nhà vua về đại cuộc của đất nước một cách dễ dàng. Ưng Lịch từ nhỏ sống trong cảnh bần hàn, dân dã với mẹ ruột chứ không được nuôi dạy tử tế như hai người anh ruột ở trong cung. Khi thấy sứ giả đến đón, cậu bé Ưng Lịch hoảng sợ và không dám nhận áo mũ người ta dâng lên. Sáng ngày 12 tháng 6 năm Giáp Thân , tức ngày 2 tháng 8 năm 1884 , Ưng Lịch được dìu đi giữa hai hàng thị vệ, tiến vào điện Thái Hòa để làm lễ lên ngôi hoàng đế , đặt niên hiệu là Hàm Nghi. Khi đó Ưng Lịch mới 13 tuổi. Người ta nói rằng Hàm Nghi được lên nối ngôi theo di chúc của vua Kiến Phúc trước đây. Tuy nhiên, trên thực tế, Hàm Nghi được phái chủ chiến lập lên ngôi. Nhân vật cầm đầu phái chủ chiến là Tôn Thất Thuyết - Phụ chính đại thần đồng thời là Thượng thư bộ Binh. [ 3 ] Tháng 7-1884, sau khi vua Kiến Phúc đột ngột qua đời, triều đình tôn Hàm Nghi lên ngôi. Khâm sứ Pierre Paul Rheinart thấy Nguyễn Văn Tường và Tôn Thất Thuyết tự tiện lập vua, không hỏi ý kiến đúng như đã giao kết nên gửi quân vào Huế bắt Triều đình nhà Nguyễn phải xin phép. Rheinart gửi công hàm cho triều đình Huế rằng: Nam triều có lập ai lên làm vua, thì phải xin phép nước Pháp mới được . Nguyễn Văn Tường và Tôn Thất Thuyết phải làm tờ xin phép bằng chữ Nôm nhưng viên Khâm sứ không chịu, bắt làm bằng chữ Hán . Hai ông phải viết lại, viên Khâm sứ mới chịu và sau đó đi cửa chính vào điện làm lễ phong vương cho vua Hàm Nghi. Công việc đầu tiên mà vua Hàm Nghi phải thủ vai, dưới sự hướng dẫn của Tôn Thất Thuyết là tổ chức đón phái đoàn Pháp từ Tòa Khâm sứ ở bờ Nam sông Hương sang điện Thái Hòa làm lễ tôn vương cho nhà vua. Đây là thắng lợi mà phe chủ chiến của triều đình Huế đã đạt được trong việc bảo vệ ngai vàng của Hàm Nghi."
PS_06,Paul Doumer,1857,1932,Pháp,"Paul Doumer xuất thân từ một gia đình lao động, bố làm công nhân xe lửa. Năm 12 tuổi, ông đã phải đi kiếm sống, làm thợ khắc, sau đó vào học trường dạy nghề. Chàng thanh niên Paul là người có nghị lực. Năm 20 tuổi, ông đỗ bằng cử nhân toán học, năm sau lấy tiếp bằng cử nhân luật, trở thành chuyên gia tài chính. Sau một thời gian ngắn dạy học, ông ra làm báo, gia nhập Đảng cấp tiến Pháp và được bầu làm Nghị sĩ của đảng này. Từ đó bước vào chính trường.

Từ người viết báo trở thành Nghị sĩ nhờ quan điểm chính trị cấp tiến, Paul Doumer bắt đầu có quan hệ chặt chẽ với các tập đoàn tài chính - công nghiệp, ông từng là thành viên Hội đồng quản trị Tổng công ty Điện lực CGE. Tham gia chính phủ, ông chuyển lập trường sang phái hữu, tuy trên danh nghĩa không rời bỏ Đảng cấp tiến. Năm 1895, làm Bộ trưởng tài chính, Paul Doumer ban hành thuế thu nhập. Từ những quan hệ chằng chịt nơi hậu trường, ông rời chính phủ sang Đông Dương làm Toàn quyền. Dưới thời cai trị của ông, Đông Dương lần đầu tiên trở thành thuộc địa tạo ra lợi nhuận cung ứng cho Pháp chứ không cần rót tiền sang đầu tư, nhưng cái giá phải trả chính là sự đau khổ của người Việt Nam, khi mà Doumer đã tăng cường đánh thuế, bóc lột triệt để các nguồn lực ở thuộc địa để lấy đó làm lợi nhuận cho chính quốc Pháp"
PS_07,Cường Để,1882,1951,Huế,"Ông nguyên tên là Nguyễn Phúc Dân (阮福民), ấu danh Mệ Cưởi, sinh ngày 11 tháng 1 năm Nhâm Ngọ (tức 28 tháng 2 năm 1882) tại Huế, là con của Hàm Hóa Hương công Nguyễn Phúc Tăng Nhu. Ông là cháu 5 đời dòng đích của vua Gia Long, là cháu trực hệ của Hoàng tử Cảnh[1]. Do Hoàng tử Cảnh mất sớm, tổ phụ ông là Hoàng tôn Đán bấy giờ còn nhỏ tuổi, ngôi vua truyền cho con thứ 4 là Hoàng tử Đảm, tức vua Minh Mạng.
Từ người viết báo trở thành Nghị sĩ nhờ quan điểm chính trị cấp tiến, Paul Doumer bắt đầu có quan hệ chặt chẽ với các tập đoàn tài chính - công nghiệp, ông từng là thành viên Hội đồng quản trị Tổng công ty Điện lực CGE. Tham gia chính phủ, ông chuyển lập trường sang phái hữu, tuy trên danh nghĩa không rời bỏ Đảng cấp tiến. Năm 1895, làm Bộ trưởng tài chính, Paul Doumer ban hành thuế thu nhập. Từ những quan hệ chằng chịt nơi hậu trường, ông rời chính phủ sang Đông Dương làm Toàn quyền. Dưới thời cai trị của ông, Đông Dương lần đầu tiên trở thành thuộc địa tạo ra lợi nhuận cung ứng cho Pháp chứ không cần rót tiền sang đầu tư, nhưng cái giá phải trả chính là sự đau khổ của người Việt Nam, khi mà Doumer đã tăng cường đánh thuế, bóc lột triệt để các nguồn lực ở thuộc địa để lấy đó làm lợi nhuận cho chính quốc Pháp
"
PS_08,Phan Châu Trinh,1872,1926," làng Tây Lộc thuộc huyện Hà Đông, sau đổi thành huyện Tiên Phước, phủ Tam Kỳ","Gia thế Phan Châu Trinh là một nhà vọng tộc trong huyện. Thân phụ là Phan Văn Bình là một võ quan giữ chức Quản cơ sơn phòng (trông coi công việc ở biên giới vùng núi), hưởng ứng phong trào Cần Vương do Trần Văn Dư và Nguyễn Duy Hiệu lãnh đạo, giữ chức chuyển vận sứ, phụ trách việc quân lương. Mẹ là Lê Thị Trung, con nhà danh tộc làng Phú Lâm (xã Tiên Sơn, huyện Tiên Phước, tỉnh Quảng Nam ngày nay), có đức hiền lành, hiểu biết khá nhiều về văn học Trung Quốc.[1]

Ông Phan Văn Bình xuất thân từ một gia đình giàu có và hào hiệp, quê ở làng Tây Lộc thuộc huyện Hà Đông, sau đổi thành huyện Tiên Phước, phủ Tam Kỳ (nay thuộc xã Tam Lộc, huyện Phú Ninh, tỉnh Quảng Nam). “Ông thân sinh Phan Châu Trinh tên là Bình, học trò trường ba, quyền bá hộ, làm Quản cơ sơn phòng, tán tài kết khách, thanh gươm yên ngựa, có chí muốn lập công danh. Mẹ họ Lê, con nhà danh tộc làng Phú Lâm, có đức hiền lành...”[2]

Vợ chồng ông Phan Văn Bình có 4 người con, 3 người con trai lớn và 1 người con gái út, trong đó Phan Châu Trinh là con thứ ba. Năm 1864, bà Lê Thị Trung mất, ông Bình đi bước nữa và có thêm 2 người con gái. Trong quan hệ họ hàng gia tộc, các anh em nội ngoại của ông Phan Văn Bình đều là những người có tiếng trong vùng về lòng yêu nước, thương dân và đã từng tham gia tích cực các phong trào Nghĩa hội, Duy tân, Đông du... như Lê Cơ, Lê Lượng, Lê Vĩnh Huy, Lê Triêm..."
PS_09,Huỳnh Thúc Kháng,1876,1947,"làng Thạnh Bình, tổng Tiên Giang Thượng, huyện Tiên Phước, phủ Tam Kỳ","Nguyên tên ông là Huỳnh Văn Thước (còn có tên là Huỳnh Hanh), sinh ngày 1 tháng 10 năm 1876 tại làng Thạnh Bình, tổng Tiên Giang Thượng, huyện Tiên Phước, phủ Tam Kỳ (nay thuộc xã Tiên Cảnh, huyện Tiên Phước), tỉnh Quảng Nam. Cha của ông là Huỳnh Văn Phương, tự Tấn Hữu, xuất thân nhà nông hào nhưng cũng học qua Nho học, nhiều lần thi cử nhưng không đỗ. Mẹ của ông là Nguyễn Thị Tình, người làng Hội An nhưng cư ngụ làng Phú Thị (nay thuộc xã Tiên Châu, huyện Tiên Phước), em ruột Phó bảng Nguyễn Đình Tựu. Ông là người con thứ 4 và là con trai út trong nhà, nhưng vì 2 anh trai mất sớm, chị gái cả Huỳnh Thị Duật (sinh năm 1873), lấy chồng tại Hương Lâm, Tứ Chánh nay thuộc xã Tiên Hiệp, huyện Tiên Phước, tỉnh Quảng Nam nên ông là người con trai duy nhất."
PS_10,Trần Quý Cáp,1870,1908,"làng Bất Nhị, thuộc tỉnh Quảng Nam (Trung phần)","Trần Quý Cáp người làng Bất Nhị, thuộc tỉnh Quảng Nam (Trung phần), hiệu là Thai Xuyên. Mặc dù ông thông minh, học giỏi nhưng lại lận đận trong khoa trường. Năm 1903 ông vẫn còn là Tú tài trong khi các bạn đồng môn người thì Tiến sĩ, kẻ thì Phó bảng hay Cử nhân. Mãi đến năm 1904 ông mới được đặc cách cho thi Hội rồi thi Đình, đỗ Tiến sĩ khoa Giáp Thìn, cùng khoa với Huỳnh Thúc Kháng và Đặng Văn Thụy.

Là một người cầu tiến, và vì chịu ảnh hưởng của các học giả Trung Hoa là Lương Khải Siêu, Khang Hữu Vi, ông cực lực đả kích lối từ chương khoa cử, đề nghị một lối học mới có tinh thần cứu quốc. Năm 1905, ông cùng với các đồng chí là Phan Chu Trinh, Huỳnh Thúc Kháng định vào Nam hô hào công cuộc duy tân.

Tới Bình Định gặp lúc quan tỉnh mở kỳ thi khảo hạch, ra đầu bài thơ là Chí thành thông thánh và bài phú Danh sơn Lương Ngọc, cả ba ông định nhân dịp cổ động việc nước, liền nộp quyển làm bài. Những bài của 3 ông khiến quan tỉnh phải điên đầu, báo cáo về triều đình Huế để quyết định.

Vào đến vịnh Cam Ranh, nhân có chiến hạm Nga vào đó lánh nạn, 3 ông thuê thuyền ra tận nơi xem.

Tới Bình Thuận, 3 ông kết giao với các sĩ phu yêu nước tị địa từ miền Nam, bao gồm Trương Gia Mô, Hồ Tá Bang, Nguyễn Hiệt Chi và hai anh em Nguyễn Trọng Lợi, Nguyễn Quý Anh là con trai của nhà thơ yêu nước Nguyễn Thông, dấy lên phong trào Duy Tân ở đây. Chính phong trào này dẫn đến sự sáng lập của Liên Thành Thư Xã, Liên Thành Thương Quán và Dục Thanh Học Hiệu trong các năm sau.

Năm 1907 ông làm Giáo thụ ở phủ Thăng Bình, tỉnh Quảng Nam. Ông mở một lớp chữ Pháp trong trường, rước thầy về dạy học sinh. Bọn quan lại cựu học không ưa, liền tìm cách đổi ông vào Khánh Hòa.

Năm 1908, xảy ra cuộc kháng thuế ở Quảng Nam, phần lớn thân sĩ trong tỉnh bị bắt. Việc này làm chấn động các giới trong nước. Tại Khánh Hòa, Trần Quý Cáp làm một bức thư gửi cho các bạn hữu tại Quảng Nam, trong đó có những lời lẽ dí dỏm như sau:

“	
Cận văn ngô châu cử nhứt khoái sự, ngô văn chi, khoái nhậm, khoái thậm.

”
Nghĩa là:

“	
Gần đây nghe trong tỉnh nhà làm một việc rất thú, tôi nghe tin lấy làm thích lắm.

”
Sau đó ông bị bắt giam và bị chính quyền nhà Nguyễn tỉnh Khánh Hòa khép vào tội mưu phản, lãnh án chém ngang lưng tại Khánh Hòa.

Tương truyền khi gia quyến và học trò đưa quan tài Trần Quý Cáp ngang qua Bồng Sơn (thuộc huyện Hoài Nhơn), Tri phủ Hoài Nhơn Nguyễn Đình Hiến đã thiết án bên đò Bồng Sơn làm lễ, lạy khóc thảm thê. Công sứ Bình Định là A. Sandré (1907 - 1910) biết tin, cho rằng Nguyễn Tri phủ đã đồng lõa với Trần Quý Cáp. Nhờ có Tổng đốc Bình Định là cụ Bùi Xuân Huyên can thiệp, bày cho ông Nguyễn Đình Hiến giả đang mắc bệnh tâm thần nên chuyện mới được cho qua."
